Nodos Aristas Frontera |CMF| Segundos
16 22 10 3 0.00090600000000000
16 22 7 1 0.00001800000000000
16 22 10 3 0.00031900000000000
17 23 10 3 0.00001000000000000
18 24 8 1 0.00000800000000000
18 24 10 3 0.00001000000000000
16 22 7 1 0.00001900000000000
18 24 8 1 0.00000900000000000
18 24 10 3 0.00000800000000000
16 22 7 2 0.00001500000000000
19 25 8 1 0.00000900000000000
18 24 8 1 0.00002000000000000
18 24 10 3 0.00001000000000000
17 23 7 1 0.00001700000000000
16 22 7 1 0.00029600000000000
16 22 7 1 0.00002300000000000
19 25 10 3 0.00000700000000000
17 23 7 2 0.00087000000000000
16 22 10 3 0.00030700000000000
19 25 10 3 0.00000900000000000
16 22 7 1 0.00031700000000000
17 23 10 3 0.00001500000000000
19 25 10 3 0.00000700000000000
17 23 7 2 0.00001000000000000
20 34 17 4 0.00001400000000000
17 23 10 3 0.00001400000000000
18 24 8 1 0.00000700000000000
17 23 7 2 0.00000900000000000
19 25 8 1 0.00000800000000000
19 25 10 3 0.00001000000000000
20 34 9 1 0.00001400000000000
20 34 9 1 0.00000900000000000
21 35 17 4 0.00001400000000000
20 34 9 1 0.00001100000000000
19 25 10 3 0.00000900000000000
21 35 17 4 0.00001700000000000
21 35 17 4 0.00000900000000000
20 34 9 1 0.00001300000000000
21 35 9 1 0.00000800000000000
21 35 9 1 0.00000900000000000
18 24 10 3 0.00000700000000000
20 34 9 1 0.00001400000000000
18 24 8 2 0.00000800000000000
21 35 9 1 0.00000700000000000
21 35 9 1 0.00000900000000000
22 36 17 4 0.00001300000000000
22 36 10 1 0.00000800000000000
20 34 9 2 0.00001300000000000
22 36 10 1 0.00000700000000000
19 25 8 1 0.00000700000000000
23 37 17 4 0.00001300000000000
20 34 9 1 0.00001400000000000
20 34 9 1 0.00000700000000000
21 35 17 4 0.00001500000000000
19 25 8 1 0.00000800000000000
22 36 10 1 0.00000700000000000
21 35 17 4 0.00001100000000000
23 37 17 4 0.00000900000000000
16 22 7 2 0.00001300000000000
20 34 9 1 0.00001200000000000
18 24 8 1 0.00000700000000000
22 36 17 4 0.00001300000000000
23 37 10 1 0.00000800000000000
19 25 10 3 0.00000900000000000
17 23 7 1 0.00000900000000000
24 49 26 5 0.00001400000000000
24 49 26 5 0.00002600000000000
23 37 10 1 0.00000900000000000
23 37 10 2 0.00000700000000000
21 35 9 1 0.00001500000000000
22 36 10 1 0.00000700000000000
23 37 17 4 0.00001300000000000
22 36 17 4 0.00001200000000000
24 49 26 5 0.00001900000000000
25 50 11 2 0.00001300000000000
24 49 11 2 0.00001500000000000
25 50 11 2 0.00002500000000000
23 37 10 1 0.00001000000000000
24 49 26 5 0.00002400000000000
22 36 10 1 0.00000900000000000
23 37 10 2 0.00000900000000000
24 49 26 5 0.00001800000000000
25 50 26 5 0.00001600000000000
24 49 26 5 0.00009300000000000
24 49 26 5 0.00002000000000000
26 51 12 2 0.00000900000000000
24 49 26 5 0.00001800000000000
25 50 11 2 0.00001100000000000
26 51 12 1 0.00000800000000000
25 50 26 5 0.00002200000000000
25 50 26 5 0.00001300000000000
26 51 12 1 0.00001000000000000
27 52 12 2 0.00000900000000000
27 52 12 1 0.00001200000000000
22 36 17 4 0.00001100000000000
27 52 12 1 0.00000900000000000
25 50 26 5 0.00002100000000000
26 51 12 1 0.00001400000000000
22 36 17 4 0.00001200000000000
26 51 26 5 0.00001300000000000
26 51 26 5 0.00001500000000000
27 52 12 1 0.00000900000000000
27 52 26 5 0.00001600000000000
27 52 26 5 0.00001700000000000
23 37 10 2 0.00000800000000000
28 67 13 2 0.00001200000000000
26 51 26 5 0.00001800000000000
28 67 37 6 0.00001600000000000
28 67 37 6 0.00002000000000000
28 67 37 6 0.00002000000000000
27 52 26 5 0.00001600000000000
25 50 11 2 0.00001600000000000
17 23 7 2 0.00001300000000000
24 49 26 5 0.00001900000000000
29 68 37 6 0.00002400000000000
25 50 26 5 0.00002400000000000
28 67 37 6 0.00002400000000000
29 68 37 6 0.00002600000000000
29 68 37 6 0.00001500000000000
28 67 37 6 0.00002000000000000
29 68 37 6 0.00002400000000000
27 52 12 2 0.00000900000000000
28 67 37 6 0.00002100000000000
26 51 26 5 0.00001500000000000
23 37 10 1 0.00001000000000000
30 69 37 6 0.00001600000000000
26 51 12 1 0.00001100000000000
28 67 37 6 0.00001500000000000
17 23 7 1 0.00000800000000000
29 68 37 6 0.00002600000000000
30 69 37 6 0.00002800000000000
28 67 37 6 0.00001600000000000
28 67 37 6 0.00002000000000000
30 69 37 6 0.00002500000000000
29 68 37 6 0.00002300000000000
31 70 14 2 0.00001300000000000
31 70 37 6 0.00001600000000000
29 68 13 2 0.00001700000000000
30 69 37 6 0.00003100000000000
30 69 37 6 0.00002600000000000
31 70 37 6 0.00002000000000000
31 70 37 6 0.00001600000000000
30 69 14 2 0.00001700000000000
27 52 26 5 0.00001700000000000
32 88 50 7 0.00002600000000000
31 70 37 6 0.00002100000000000
30 69 37 6 0.00001900000000000
27 52 12 1 0.00000900000000000
29 68 37 6 0.00001900000000000
32 88 15 1 0.00001100000000000
31 70 37 6 0.00002100000000000
31 70 37 6 0.00001900000000000
30 69 37 6 0.00002900000000000
33 89 50 7 0.00002700000000000
32 88 50 7 0.00002800000000000
33 89 50 7 0.00003200000000000
32 88 50 7 0.00002600000000000
31 70 14 2 0.00006400000000000
30 69 37 6 0.00003100000000000
33 89 50 7 0.00003000000000000
33 89 50 7 0.00003100000000000
33 89 50 7 0.00002100000000000
32 88 50 7 0.00002800000000000
34 90 50 7 0.00003100000000000
32 88 50 7 0.00002500000000000
32 88 50 7 0.00002700000000000
34 90 50 7 0.00002100000000000
34 90 16 1 0.00001500000000000
34 90 16 2 0.00001500000000000
33 89 50 7 0.00003000000000000
30 69 14 2 0.00001200000000000
25 50 26 5 0.00002300000000000
29 68 37 6 0.00002500000000000
32 88 50 7 0.00002700000000000
34 90 50 7 0.00002100000000000
35 91 50 7 0.00002700000000000
34 90 50 7 0.00002100000000000
34 90 50 7 0.00004300000000000
33 89 15 1 0.00001600000000000
31 70 37 6 0.00002300000000000
35 91 50 7 0.00002800000000000
32 88 50 7 0.00002200000000000
33 89 15 2 0.00001300000000000
35 91 16 2 0.00001500000000000
29 68 37 6 0.00003000000000000
34 90 16 2 0.00002300000000000
36 112 65 8 0.00003100000000000
31 70 37 6 0.00002100000000000
36 112 65 8 0.00003300000000000
35 91 50 7 0.00002700000000000
35 91 50 7 0.00002100000000000
26 51 12 1 0.00001000000000000
36 112 65 8 0.00003300000000000
35 91 50 7 0.00002100000000000
36 112 65 8 0.00003200000000000
37 113 17 1 0.00002300000000000
36 112 65 8 0.00002600000000000
36 112 65 8 0.00003200000000000
34 90 50 7 0.00014000000000000
35 91 50 7 0.00002700000000000
35 91 50 7 0.00002800000000000
37 113 65 8 0.00003600000000000
37 113 17 1 0.00002700000000000
33 89 15 2 0.00002000000000000
38 114 65 8 0.00003300000000000
37 113 65 8 0.00003600000000000
35 91 50 7 0.00003500000000000
38 114 65 8 0.00004300000000000
37 113 65 8 0.00003300000000000
32 88 15 2 0.00001400000000000
37 113 65 8 0.00003400000000000
36 112 65 8 0.00003300000000000
34 90 50 7 0.00003200000000000
38 114 65 8 0.00002600000000000
39 115 65 8 0.00003300000000000
36 112 17 1 0.00001800000000000
39 115 65 8 0.00002900000000000
38 114 65 8 0.00003300000000000
38 114 65 8 0.00003200000000000
38 114 65 8 0.00013600000000000
38 114 65 8 0.00003200000000000
39 115 18 2 0.00001600000000000
37 113 65 8 0.00003200000000000
36 112 65 8 0.00002600000000000
37 113 65 8 0.00003700000000000
35 91 50 7 0.00002800000000000
40 139 82 9 0.00005000000000000
39 115 65 8 0.00002600000000000
37 113 65 8 0.00004000000000000
39 115 18 1 0.00002000000000000
38 114 65 8 0.00003800000000000
33 89 50 7 0.00003900000000000
40 139 82 9 0.00005000000000000
39 115 65 8 0.00003500000000000
39 115 65 8 0.00002700000000000
39 115 65 8 0.00003300000000000
40 139 82 9 0.00005000000000000
40 139 82 9 0.00004500000000000
40 139 82 9 0.00005300000000000
41 140 82 9 0.00004400000000000
41 140 82 9 0.00005400000000000
41 140 82 9 0.00004300000000000
40 139 82 9 0.00004600000000000
38 114 65 8 0.00004000000000000
42 141 82 9 0.00003900000000000
41 140 82 9 0.00005200000000000
39 115 65 8 0.00009700000000000
41 140 82 9 0.00005700000000000
41 140 82 9 0.00005500000000000
39 115 65 8 0.00003300000000000
42 141 82 9 0.00004800000000000
40 139 82 9 0.00005100000000000
41 140 82 9 0.00005600000000000
42 141 20 1 0.00001700000000000
42 141 82 9 0.00005700000000000
41 140 82 9 0.00004500000000000
38 114 65 8 0.00003800000000000
42 141 82 9 0.00003800000000000
42 141 82 9 0.00003700000000000
40 139 19 1 0.00002000000000000
40 139 82 9 0.00006000000000000
42 141 82 9 0.00004700000000000
43 142 82 9 0.00004800000000000
36 112 65 8 0.00003200000000000
42 141 82 9 0.00015400000000000
43 142 82 9 0.00004800000000000
43 142 82 9 0.00004000000000000
43 142 82 9 0.00003800000000000
37 113 65 8 0.00003700000000000
42 141 82 9 0.00004600000000000
43 142 82 9 0.00004800000000000
44 169 101 10 0.00005300000000000
43 142 82 9 0.00004900000000000
44 169 101 10 0.00006200000000000
44 169 101 10 0.00005300000000000
42 141 82 9 0.00004700000000000
44 169 101 10 0.00005000000000000
41 140 82 9 0.00004700000000000
40 139 82 9 0.00005100000000000
44 169 101 10 0.00005600000000000
43 142 82 9 0.00004700000000000
44 169 101 10 0.00006000000000000
41 140 82 9 0.00005100000000000
45 170 101 10 0.00006700000000000
43 142 82 9 0.00004800000000000
45 170 101 10 0.00005500000000000
44 169 101 10 0.00006200000000000
46 171 101 10 0.00005700000000000
44 169 101 10 0.00005900000000000
43 142 82 9 0.00004800000000000
46 171 101 10 0.00004400000000000
46 171 101 10 0.00005700000000000
46 171 101 10 0.00005600000000000
45 170 101 10 0.00004300000000000
45 170 101 10 0.00004300000000000
45 170 101 10 0.00004200000000000
44 169 101 10 0.00005800000000000
45 170 101 10 0.00005400000000000
45 170 101 10 0.00006000000000000
46 171 22 1 0.00002200000000000
47 172 101 10 0.00004700000000000
46 171 101 10 0.00005500000000000
47 172 22 1 0.00002600000000000
47 172 101 10 0.00004700000000000
47 172 101 10 0.00004600000000000
47 172 101 10 0.00004700000000000
47 172 101 10 0.00005700000000000
46 171 101 10 0.00005700000000000
46 171 101 10 0.00005700000000000
47 172 101 10 0.00005700000000000
47 172 101 10 0.00005700000000000
46 171 101 10 0.00005700000000000
48 202 122 11 0.00006600000000000
45 170 101 10 0.00006300000000000
46 171 101 10 0.00005600000000000
43 142 82 9 0.00021400000000000
45 170 101 10 0.00006900000000000
48 202 122 11 0.00007900000000000
45 170 101 10 0.00006600000000000
47 172 101 10 0.00005900000000000
44 169 101 10 0.00005900000000000
48 202 122 11 0.00009700000000000
48 202 122 11 0.00007200000000000
49 203 122 11 0.00008200000000000
48 202 122 11 0.00005500000000000
49 203 122 11 0.00007900000000000
48 202 122 11 0.00006600000000000
49 203 122 11 0.00008400000000000
48 202 122 11 0.00006100000000000
49 203 122 11 0.00007200000000000
49 203 122 11 0.00006900000000000
49 203 122 11 0.00007100000000000
49 203 122 11 0.00008000000000000
49 203 122 11 0.00007700000000000
48 202 122 11 0.00005900000000000
50 204 122 11 0.00007900000000000
47 172 101 10 0.00005700000000000
