Nodos Aristas Frontera |CMF| Segundos
2 1 1 2 0.00001700000000000
3 2 2 1 0.00085400000000000
2 1 1 2 0.00001000000000000
2 1 1 2 0.00001100000000000
2 1 1 2 0.00086100000000000
3 2 2 1 0.00000800000000000
4 3 3 1 0.00002300000000000
4 3 3 1 0.00000600000000000
3 2 2 1 0.00001800000000000
4 3 3 1 0.00000400000000000
4 3 3 1 0.00000500000000000
3 2 2 1 0.00000500000000000
2 1 1 2 0.00019800000000000
3 2 2 1 0.00002200000000000
5 4 4 1 0.00000700000000000
5 4 4 1 0.00000800000000000
4 3 3 1 0.00000600000000000
4 3 3 1 0.00001700000000000
3 2 2 1 0.00000700000000000
5 4 4 1 0.00000300000000000
2 1 1 2 0.00082600000000000
5 4 4 1 0.00000300000000000
2 1 1 2 0.00017300000000000
6 5 5 1 0.00001400000000000
6 5 5 1 0.00001500000000000
2 1 1 2 0.00000800000000000
4 3 3 1 0.00000400000000000
6 5 5 1 0.00002800000000000
5 4 4 1 0.00000300000000000
6 5 5 1 0.00002100000000000
4 3 3 1 0.00000500000000000
7 6 6 1 0.00001500000000000
3 2 2 1 0.00085400000000000
7 6 6 1 0.00001400000000000
6 5 5 1 0.00001500000000000
6 5 5 1 0.00002300000000000
7 6 6 1 0.00001400000000000
2 1 1 2 0.00010900000000000
6 5 5 1 0.00001500000000000
3 2 2 1 0.00000900000000000
8 7 7 1 0.00001500000000000
5 4 4 1 0.00000400000000000
7 6 6 1 0.00002200000000000
3 2 2 1 0.00084300000000000
5 4 4 1 0.00000400000000000
8 7 7 1 0.00002400000000000
7 6 6 1 0.00001200000000000
8 7 7 1 0.00002000000000000
8 7 7 1 0.00002000000000000
6 5 5 1 0.00001000000000000
9 8 8 1 0.00002000000000000
7 6 6 1 0.00001500000000000
7 6 6 1 0.00002100000000000
5 4 4 1 0.00000400000000000
7 6 6 1 0.00001500000000000
9 8 8 1 0.00001900000000000
3 2 2 1 0.00000900000000000
6 5 5 1 0.00000900000000000
8 7 7 1 0.00001900000000000
5 4 4 1 0.00000400000000000
9 8 8 1 0.00002500000000000
9 8 8 1 0.00001900000000000
7 6 6 1 0.00001500000000000
10 9 9 1 0.00002600000000000
10 9 9 1 0.00003300000000000
9 8 8 1 0.00002000000000000
8 7 7 1 0.00001500000000000
10 9 9 1 0.00003200000000000
9 8 8 1 0.00002600000000000
9 8 8 1 0.00002500000000000
10 9 9 1 0.00003100000000000
9 8 8 1 0.00002600000000000
4 3 3 1 0.00000600000000000
