Nodos Aristas Frontera |CMF| Segundos
3 3 2 1 0.00090300000000000
2 1 1 1 0.00000600000000000
3 3 2 1 0.00033300000000000
3 3 2 1 0.00032400000000000
2 1 1 1 0.00001000000000000
3 3 2 1 0.00033600000000000
4 6 4 2 0.00000200000000000
4 6 4 2 0.00000100000000000
2 1 1 1 0.00000800000000000
5 8 5 2 0.00001800000000000
2 1 1 1 0.00000700000000000
3 3 2 1 0.00000100000000000
2 1 1 1 0.00000900000000000
4 6 4 2 0.00000200000000000
5 8 5 2 0.00001100000000000
3 3 2 1 0.00033300000000000
5 8 5 2 0.00002800000000000
4 6 4 2 0.00000100000000000
2 1 1 1 0.00000800000000000
5 8 5 2 0.00000600000000000
2 1 1 1 0.00000900000000000
5 8 5 2 0.00001000000000000
6 10 6 2 0.00001400000000000
6 10 6 2 0.00002600000000000
3 3 2 1 0.00000200000000000
2 1 1 1 0.00001100000000000
4 6 4 2 0.00000200000000000
5 8 5 2 0.00000700000000000
4 6 4 2 0.00000100000000000
6 10 6 2 0.00001800000000000
4 6 4 2 0.00000300000000000
5 8 5 2 0.00000700000000000
6 10 6 2 0.00000900000000000
2 1 1 1 0.00032100000000000
7 12 7 2 0.00001600000000000
7 12 7 2 0.00001600000000000
5 8 5 2 0.00001200000000000
3 3 2 1 0.00033300000000000
7 12 7 2 0.00001400000000000
7 12 7 2 0.00001200000000000
8 14 8 2 0.00002000000000000
6 10 6 2 0.00002000000000000
7 12 7 2 0.00001400000000000
8 14 8 2 0.00002000000000000
2 1 1 1 0.00000900000000000
8 14 8 2 0.00002100000000000
7 12 7 2 0.00001200000000000
3 3 2 1 0.00000200000000000
9 16 9 2 0.00002100000000000
7 12 7 2 0.00001500000000000
6 10 6 2 0.00002300000000000
8 14 8 2 0.00001500000000000
8 14 8 2 0.00001700000000000
4 6 4 2 0.00000200000000000
6 10 6 2 0.00001100000000000
5 8 5 2 0.00001500000000000
9 16 9 2 0.00002100000000000
9 16 9 2 0.00003100000000000
9 16 9 2 0.00003000000000000
5 8 5 2 0.00000900000000000
6 10 6 2 0.00001400000000000
7 12 7 2 0.00001600000000000
9 16 9 2 0.00002500000000000
10 18 10 2 0.00002600000000000
9 16 9 2 0.00002000000000000
9 16 9 2 0.00002700000000000
8 14 8 2 0.00002200000000000
10 18 10 2 0.00003700000000000
10 18 10 2 0.00003200000000000
8 14 8 2 0.00002000000000000
9 16 9 2 0.00002600000000000
10 18 10 2 0.00004400000000000
4 6 4 2 0.00000100000000000
11 20 11 2 0.00005700000000000
8 14 8 2 0.00001600000000000
8 14 8 2 0.00001800000000000
7 12 7 2 0.00001900000000000
9 16 9 2 0.00002500000000000
11 20 11 2 0.00005000000000000
11 20 11 2 0.00004100000000000
10 18 10 2 0.00003100000000000
11 20 11 2 0.00005100000000000
6 10 6 2 0.00001700000000000
10 18 10 2 0.00003600000000000
11 20 11 2 0.00003900000000000
11 20 11 2 0.00004300000000000
4 6 4 2 0.00033300000000000
10 18 10 2 0.00003900000000000
7 12 7 2 0.00001900000000000
11 20 11 2 0.00004500000000000
8 14 8 2 0.00002000000000000
12 22 12 2 0.00003800000000000
12 22 12 2 0.00004200000000000
12 22 12 2 0.00003900000000000
10 18 10 2 0.00003700000000000
9 16 9 2 0.00002600000000000
11 20 11 2 0.00003700000000000
12 22 12 2 0.00004800000000000
13 24 13 2 0.00004900000000000
13 24 13 2 0.00005800000000000
13 24 13 2 0.00006000000000000
11 20 11 2 0.00004500000000000
13 24 13 2 0.00006000000000000
11 20 11 2 0.00003900000000000
14 26 14 2 0.00005500000000000
12 22 12 2 0.00004900000000000
12 22 12 2 0.00004800000000000
14 26 14 2 0.00005500000000000
12 22 12 2 0.00004800000000000
10 18 10 2 0.00003600000000000
14 26 14 2 0.00006100000000000
12 22 12 2 0.00004400000000000
14 26 14 2 0.00007000000000000
14 26 14 2 0.00005500000000000
13 24 13 2 0.00004700000000000
13 24 13 2 0.00006000000000000
13 24 13 2 0.00005900000000000
12 22 12 2 0.00004800000000000
14 26 14 2 0.00007200000000000
14 26 14 2 0.00006900000000000
15 28 15 2 0.00007000000000000
15 28 15 2 0.00009000000000000
15 28 15 2 0.00007100000000000
15 28 15 2 0.00009000000000000
15 28 15 2 0.00009900000000000
14 26 14 2 0.00006800000000000
15 28 15 2 0.00007400000000000
16 30 16 2 0.00010600000000000
13 24 13 2 0.00004700000000000
16 30 16 2 0.00010400000000000
16 30 16 2 0.00008800000000000
14 26 14 2 0.00007100000000000
10 18 10 2 0.00004000000000000
15 28 15 2 0.00007500000000000
15 28 15 2 0.00008700000000000
15 28 15 2 0.00007000000000000
16 30 16 2 0.00009400000000000
12 22 12 2 0.00004800000000000
17 32 17 2 0.00008800000000000
16 30 16 2 0.00011700000000000
17 32 17 2 0.00008800000000000
17 32 17 2 0.00011200000000000
17 32 17 2 0.00011100000000000
14 26 14 2 0.00007600000000000
16 30 16 2 0.00009400000000000
17 32 17 2 0.00008900000000000
13 24 13 2 0.00005900000000000
13 24 13 2 0.00005900000000000
17 32 17 2 0.00009400000000000
17 32 17 2 0.00011500000000000
18 34 18 2 0.00011800000000000
18 34 18 2 0.00015100000000000
16 30 16 2 0.00010000000000000
16 30 16 2 0.00009300000000000
17 32 17 2 0.00008800000000000
16 30 16 2 0.00007500000000000
17 32 17 2 0.00011100000000000
16 30 16 2 0.00010400000000000
18 34 18 2 0.00011800000000000
3 3 2 1 0.00000200000000000
18 34 18 2 0.00014700000000000
18 34 18 2 0.00011700000000000
19 36 19 2 0.00017000000000000
19 36 19 2 0.00013900000000000
19 36 19 2 0.00014000000000000
18 34 18 2 0.00014500000000000
19 36 19 2 0.00013100000000000
18 34 18 2 0.00014600000000000
19 36 19 2 0.00013000000000000
19 36 19 2 0.00016400000000000
